"","Algorithm","X","N","Y","sd","se","ci","upper","lower"
"1","FaceRecognition",0.001,10,0.9149,0.0253922560373565,0.0080297364008208,0.0181645257144983,0.933064525714498,0.896735474285502
"2","FaceRecognition",0.00101394,10,0.9137137,0.0257461902814982,0.00814166023616259,0.0184177150203045,0.932131415020304,0.895295984979695
"3","FaceRecognition",0.00102807,10,0.9125112,0.0261052345657597,0.00825520000807572,0.0186745598286003,0.9311857598286,0.8938366401714
"4","FaceRecognition",0.0010424,10,0.9112913,0.026469037958633,0.0083702447422734,0.0189348090981078,0.930226109098108,0.892356490901892
"5","FaceRecognition",0.00105693,10,0.910055,0.0268379942784272,0.0084869189750397,0.0191987445494741,0.929253744549474,0.890856255450526
"6","FaceRecognition",0.00107167,10,0.9088012,0.0272120812091492,0.00860521564943804,0.0194663502187995,0.928267550218799,0.8893348497812
"7","FaceRecognition",0.00108661,10,0.9075298,0.027591416458344,0.00872517198786235,0.0197377103089891,0.927267510308989,0.887792089691011
"8","FaceRecognition",0.00110175,10,0.9062408,0.0279760350331811,0.00884679906055166,0.0200128498626634,0.926253649862663,0.886227950137337
"9","FaceRecognition",0.00111711,10,0.9049339,0.0283659312456569,0.0089700950688013,0.0202917648108697,0.92522566481087,0.88464213518913
"10","FaceRecognition",0.00113268,10,0.9036087,0.0287614052741594,0.00909515493735233,0.020574669888291,0.924183369888291,0.883034030111709
"11","FaceRecognition",0.00114847,10,0.902265,0.0291623512236049,0.00922194517923897,0.0208614893421478,0.923126489342148,0.881403510657852
"12","FaceRecognition",0.00116448,10,0.9009026,0.0295687288390211,0.00935045306472128,0.0211521943757677,0.922054794375768,0.879750405624232
"13","FaceRecognition",0.00118071,10,0.8995213,0.0299809091851243,0.00948079593476554,0.021447050432858,0.920968350432858,0.878074249567142
"14","FaceRecognition",0.00119717,10,0.8981207,0.0303989211433199,0.00961298292247406,0.0217460781739315,0.919866778173931,0.876374621826069
"15","FaceRecognition",0.00121386,10,0.8967005,0.0308226365021626,0.00974697348382791,0.0220491858820455,0.918749685882046,0.874651314117954
"16","FaceRecognition",0.00123078,10,0.8952606,0.0312522561112705,0.00988283113305314,0.0223565172363613,0.917617117236361,0.872904082763639
"17","FaceRecognition",0.00124794,10,0.8938007,0.0316879886955084,0.0100206218747474,0.0226682215496523,0.916468921549652,0.871132478450348
"18","FaceRecognition",0.00126533,10,0.8923202,0.0321295515782935,0.0101602563187265,0.0229840966072729,0.915304296607273,0.869336103392727
"19","FaceRecognition",0.00128297,10,0.8908193,0.0325773175761227,0.0103018523599184,0.0233044091060789,0.914123709106079,0.867514890893921
"20","FaceRecognition",0.00130085,10,0.8892975,0.0330316476941264,0.0104455241581688,0.0236294172935833,0.912926917293583,0.865668082706417
"21","FaceRecognition",0.00131899,10,0.8877543,0.0334920627812687,0.0105911201926163,0.0239587784057836,0.911713078405784,0.863795521594216
"22","FaceRecognition",0.00133737,10,0.8861895,0.0339588682681793,0.0107387370489064,0.0242927109345901,0.91048221093459,0.86189678906541
"23","FaceRecognition",0.00135602,10,0.884603,0.0344323437676457,0.0108884631483664,0.0246314149029414,0.909234414902941,0.859971585097059
"24","FaceRecognition",0.00137492,10,0.8829945,0.0349123566926287,0.011040256563293,0.0249747954637831,0.907969295463783,0.858019704536217
"25","FaceRecognition",0.00139408,10,0.8813636,0.0353988002753389,0.0111940835307466,0.0253227762400399,0.90668637624004,0.85604082375996
"26","FaceRecognition",0.00141352,10,0.87971,0.0358922858130948,0.0113501373599128,0.0256757945274703,0.90538579452747,0.85403420547253
"27","FaceRecognition",0.00143322,10,0.878033,0.0363927139747017,0.0115083866395097,0.026033779268818,0.904066779268818,0.851999220731182
"28","FaceRecognition",0.0014532,10,0.8763329,0.0368999066648925,0.0116687750508688,0.0263966030624038,0.902729503062404,0.849936296937596
"29","FaceRecognition",0.00147345,10,0.874609,0.0374143859171249,0.0118314676754643,0.0267646393484669,0.901373639348467,0.847844360651533
"30","FaceRecognition",0.00149399,10,0.8728614,0.0379357495955698,0.0119963373467812,0.0271376004563647,0.899999000456365,0.845723799543635
"31","FaceRecognition",0.00151482,10,0.8710889,0.0384646531923936,0.012163591349643,0.0275159552969453,0.898604855296945,0.843572944703055
"32","FaceRecognition",0.00153593,10,0.8692921,0.0390008849200174,0.0123331627109369,0.0278995523665016,0.897191652366502,0.841392547633498
"33","FaceRecognition",0.00155734,10,0.86747,0.0395444272770092,0.0125050458962239,0.0282883791452632,0.895758379145263,0.839181620854737
"34","FaceRecognition",0.00157905,10,0.8656226,0.0400957659726477,0.0126793945002643,0.0286827830887171,0.894305383088717,0.836939816911283
"35","FaceRecognition",0.00160106,10,0.8637492,0.0406546222704818,0.0128561203788528,0.0290825648008179,0.892831764800818,0.834666635199182
"36","FaceRecognition",0.00162338,10,0.8618502,0.0412213829915171,0.0130353458555319,0.0294880009966434,0.891338200996643,0.832362199003357
"37","FaceRecognition",0.00164601,10,0.8599244,0.0417956534374887,0.013216946115751,0.0298988093260641,0.889823209326064,0.830025590673936
"38","FaceRecognition",0.00166896,10,0.8579719,0.042378492989959,0.0134012561653749,0.0303157476249965,0.888287647624997,0.827656152375003
"39","FaceRecognition",0.00169222,10,0.8559921,0.0429693082882034,0.0135880883672674,0.0307383914287488,0.886730491428749,0.825253708571251
"40","FaceRecognition",0.00171581,10,0.8539848,0.0435683347520498,0.0137775171677145,0.0311669091465205,0.885151709146521,0.822817890853479
"41","FaceRecognition",0.00173973,10,0.8519494,0.0441754428568634,0.0139695016074304,0.0316012081219697,0.88355060812197,0.82034819187803
"42","FaceRecognition",0.00176398,10,0.8498856,0.0447913357921423,0.0141642640544592,0.03204179138656,0.88192739138656,0.81784380861344
"43","FaceRecognition",0.00178857,10,0.8477929,0.045415888848263,0.0143617650721552,0.032488569728401,0.880281469728401,0.815304330271599
"44","FaceRecognition",0.0018135,10,0.8456715,0.0460488053464293,0.0145619108424455,0.032941330916267,0.878612830916267,0.812730169083733
